"Id"	"CollectorId"	"ContentId"
1	"E616/1"	"SoA1"
2	"E616/1"	"SoA2"
3	"E616/1"	"SoA3"
4	"E616/1"	"SoA4"
5	"E616/1"	"SoA5"
6	"E616/1"	"SoA6"
7	"E616/2"	"SoA7"
8	"E616/2"	"SoA8"
9	"E616/2"	"SoA9"
10	"E616/2"	"SoA10"
11	"E616/2"	"SoA11"
12	"E616/2"	"SoA12"
13	"E616/3"	"JiM97/2"
14	"E616/3"	"JiM98/2"
15	"E616/3"	"JiM99/2"
16	"E616/3"	"JiM100/2"
17	"E616/3"	"JiM101/2"
18	"E616/3"	"JiM102/2"
19	"E616/3"	"JiM103/2"
20	"E616/3"	"JiM104/2"
21	"E616/4"	"JiM105/2"
22	"E616/4"	"JiM106/2"
23	"E616/4"	"JiM107/2"
24	"E616/4"	"JiM108/2"
25	"E616/4"	"JiM109/2"
26	"E616/4"	"JiM110/2"
27	"E616/4"	"JiM111/2"
28	"E616/4"	"JiM112/2"
29	"E616/5"	"JiM113/2"
30	"E616/5"	"JiM114/2"
31	"E616/5"	"JiM115/2"
32	"E616/5"	"JiM116/2"
33	"E616/5"	"JiM117/2"
34	"E616/5"	"JiM118/2"
35	"E616/5"	"JiM119/2"
36	"E616/5"	"JiM120/2"
37	"E616/6"	"JiM121/2"
38	"E616/6"	"JiM122/2"
39	"E616/6"	"JiM123/2"
40	"E616/6"	"JiM124/2"
41	"E616/6"	"JiM125/2"
42	"E616/6"	"T126/2"
43	"E616/6"	"T127/2"
44	"E616/6"	"T128/2"
45	"E616/7"	"T129/2"
46	"E616/7"	"T130/2"
47	"E616/7"	"T131/2"
48	"E616/7"	"T132/2"
49	"E616/7"	"T133/2"
50	"E616/7"	"T134/2"
51	"E616/7"	"T135/2"
52	"E616/7"	"T136/2"
53	"E616/8"	"T137/2"
54	"E616/8"	"T138/2"
55	"E616/8"	"T139/2"
56	"E616/8"	"T140/2"
57	"E616/8"	"T141/2"
58	"E616/8"	"T142/2"
59	"E616/8"	"T143/2"
60	"E616/8"	"T144/2"
61	"E616/8"	"T145/2"
62	"E616/10"	"ToL1"
63	"E616/10"	"ToL2"
64	"E616/10"	"ToL3"
65	"E616/10"	"ToL4"
66	"E616/11"	"L1"
67	"E616/11"	"L2"
68	"E616/11"	"L3"
69	"E616/11"	"L4"
70	"E616/12"	"T-AoT1"
71	"E616/12"	"T-AoT2"
72	"E616/12"	"T-AoT3"
73	"E616/12"	"T-AoT4/Special"
74	"E616/14"	"T-FA1"
75	"E616/14"	"T-FA2"
76	"E616/14"	"T-FA3"
77	"E616/14"	"T-FA4"
78	"E616/14"	"T-FA5"
79	"E616/14"	"T-FA6"
80	"E616/15"	"ToL1"
81	"E616/15"	"ToL2"
82	"E616/15"	"ToL3"
83	"E616/15"	"ToL4"
