Id,title,era,age
E616/1,Thor Son Of Asgard Vol. 1: The Warriors,The beginning,The early tales of Asgard
E616/2,Thor Son Of Asgard Vol. 2: Worthy,The beginning,The early tales of Asgard
E616/3,Thor: Tales Of Asgard Vol. 1,The beginning,The early tales of Asgard
E616/4,Thor: Tales Of Asgard Vol. 2,The beginning,The early tales of Asgard
E616/5,Thor: Tales Of Asgard Vol. 3,The beginning,The early tales of Asgard
E616/6,Thor: Tales Of Asgard Vol. 4,The beginning,The early tales of Asgard
E616/7,Thor: Tales Of Asgard Vol. 5,The beginning,The early tales of Asgard
E616/8,Thor: Tales Of Asgard Vol. 6,The beginning,The early tales of Asgard
E616/9,The Raven Banner: A Tale Of Asgard,The beginning,The early tales of Asgard
E616/10,Loki,The beginning,The early tales of Asgard
E616/11,Thor And Loki: Blood Brothers,The beginning,The early tales of Asgard
E616/12,Thor: Ages Of Thunder,The beginning,The early tales of Asgard
E616/13,Thor: Wolves Of The North,The beginning,The early tales of Asgard
E616/14,Thor: For Asgard,The beginning,The early tales of Asgard
E616/15,Thor: The Trials Of Loki,The beginning,The early tales of Asgard
E616/16,The Chronicles Of Kull Vol. 1: A King Comes Riding And Other Stories,The beginning,The Thurian age
E616/17,The Chronicles Of Kull Vol. 2: The Hell Beneath Atlantis And Other Stories,The beginning,The Thurian age
E616/18,The Chronicles Of Kull Vol. 3: Screams In The Dark And Other Stories,The beginning,The Thurian age
E616/19,The Chronicles Of Kull Vol. 4: The Blood Of Kings And Other Stories,The beginning,The Thurian age
E616/20,The Savage Sword Of Kull Vol. 1,The beginning,The Thurian age
E616/21,Kull: The Vale Of The Shadow,The beginning,The Thurian age
E616/22,Kull: The Shadow Kingdom,The beginning,The Thurian age
E616/23,Conan Digest Vol. 1,The beginning,The Hyborian age
E616/24,Conan Digest Vol. 2,The beginning,The Hyborian age
E616/25,Conan Digest Vol. 3,The beginning,The Hyborian age
E616/26,Conan Digest Vol. 4,The beginning,The Hyborian age
E616/27,Conan Digest Vol. 5,The beginning,The Hyborian age
E616/28,Conan Digest Vol. 6,The beginning,The Hyborian age
E616/29,The Chronicles Of Conan Vol. 1: Tower Of The Elephant And Other Stories,The beginning,The Hyborian age
E616/30,The Barry Windsor-Smith Conan Archives Vol. 1,The beginning,The Hyborian age
E616/31,The Chronicles Of Conan Vol. 2: Rogues In The House And Other Stories,The beginning,The Hyborian age
E616/32,The Chronicles Of Conan Vol. 3: The Monster Of The Monoliths And Other Stories,The beginning,The Hyborian age
E616/33,The Barry Windsor-Smith Conan Archives Vol. 2,The beginning,The Hyborian age
E616/34,Essential Conan The Barbarian Vol. 1,The beginning,The Hyborian age
E616/35,The Chronicles Of Conan Vol. 4: The Song Of Red Sonja And Other Stories,The beginning,The Hyborian age
E616/36,The Chronicles Of Conan Vol. 5: The Shadow In The Tomb And Other Stories,The beginning,The Hyborian age
E616/37,The Chronicles Of Conan Vol. 6: The Curse Of The Golden Skull And Other Stories,The beginning,The Hyborian age
E616/38,The Chronicles Of Conan Vol. 7: The Dweller In The Pool And Other Stories,The beginning,The Hyborian age
E616/39,The Savage Sword Of Conan Vol. 1,The beginning,The Hyborian age
E616/40,The Chronicles Of Conan Vol. 8: Brothers Of The Blade And Other Stories,The beginning,The Hyborian age
E616/41,The Adventures Of Red Sonja Vol. 1,The beginning,The Hyborian age
E616/42,The Chronicles Of Conan Vol. 9: Riders Of The River-Dragons And Other Stories,The beginning,The Hyborian age
E616/43,The Savage Sword Of Conan Vol. 2,The beginning,The Hyborian age
E616/44,The Chronicles Of Conan Vol. 10: When Giants Walk The Earth And Other Stories,The beginning,The Hyborian age
E616/45,The Adventures Of Red Sonja Vol. 2,The beginning,The Hyborian age
E616/46,The Chronicles Of Conan Vol. 11: The Dance Of The Skull And Other Stories,The beginning,The Hyborian age
E616/47,The Savage Sword Of Conan Vol. 3,The beginning,The Hyborian age
E616/48,The Adventures Of Red Sonja Vol. 3,The beginning,The Hyborian age
E616/49,The Chronicles Of Conan Vol. 12: The Beast King Of Abombi And Other Stories,The beginning,The Hyborian age
E616/50,The Savage Sword Of Conan Vol. 4,The beginning,The Hyborian age
E616/51,The Chronicles Of Conan Vol. 13: Whispering Shadows And Other Stories,The beginning,The Hyborian age
E616/52,The Chronicles Of Conan Vol. 14: Shadow Of The Beast And Other Stories,The beginning,The Hyborian age
E616/53,The Savage Sword Of Conan Vol. 5,The beginning,The Hyborian age
E616/54,The Chronicles Of Conan Vol. 15: The Corridor Of Mullah-Kajar And Others Stories,The beginning,The Hyborian age
E616/55,Conan: Newspaper Strips Vol. 1,The beginning,The Hyborian age
E616/56,The Chronicles Of Conan Vol. 16: The Eternity War And Other Stories,The beginning,The Hyborian age
E616/57,The Savage Sword Of Conan Vol. 6,The beginning,The Hyborian age
E616/58,The Chronicles Of Conan Vol. 17: The Creation Quest And Other Stories,The beginning,The Hyborian age
E616/59,Conan: The Movie,The beginning,The Hyborian age
E616/60,The Savage Sword Of Conan Vol. 7,The beginning,The Hyborian age
E616/61,The Chronicles Of Conan Vol. 18: Isle Of The Dead And Other Stories,The beginning,The Hyborian age
E616/62,The Chronicles Of Conan Vol. 19: Deathmark And Other Stories,The beginning,The Hyborian age
E616/63,The Savage Sword Of Conan Vol. 8,The beginning,The Hyborian age
E616/64,The Chronicles Of Conan Vol. 20: Night Of The Wolf And Other Stories,The beginning,The Hyborian age
E616/65,The Savage Sword Of Conan Vol. 9,The beginning,The Hyborian age
E616/66,The Chronicles Of Conan Vol. 21: Blood Of The Titan And Other Stories,The beginning,The Hyborian age
E616/67,Conan The Barbarian: The Witch Queen Of Acheron,The beginning,The Hyborian age
E616/68,Conan The Reaver,The beginning,The Hyborian age
E616/69,Conan Of The Isles,The beginning,The Hyborian age
E616/70,Conan: The Skull Of Set,The beginning,The Hyborian age
E616/71,Conan: The Horn Of Azoth,The beginning,The Hyborian age
E616/72,Conan The Rogue,The beginning,The Hyborian age
E616/73,Conan: The Ravagers Out Of Time,The beginning,The Hyborian age
E616/74,Conan: Born on The Battlefield,The beginning,The Hyborian age
E616/75,Conan Vol. 1: The Frost Giant’s Daughter And Other Stories,The beginning,The Hyborian age
E616/76,Conan Vol. 2: The God In The Bowl And Other Stories,The beginning,The Hyborian age
E616/77,Conan And The Jewels Of Gwahlur,The beginning,The Hyborian age
E616/78,Conan Vol. 3: The Tower Of The Elephant And Other Stories,The beginning,The Hyborian age
E616/79,Red Sonja: She-Devil With A Sword Vol. 1,The beginning,The Hyborian age
E616/80,Conan And The Demons Of Khitai,The beginning,The Hyborian age
E616/81,Red Sonja vs. Thulsa Doom,The beginning,The Hyborian age
E616/82,Conan: Book Of Thoth,The beginning,The Hyborian age
E616/83,Red Sonja: She-Devil With A Sword Vol. 2,The beginning,The Hyborian age
E616/84,Red Sonja / Claw The Unconquered: Devil’s Hands,The beginning,The Hyborian age
E616/85,Conan Vol. 4: The Hall Of The Dead And Other Stories,The beginning,The Hyborian age
E616/86,Conan And The Songs Of The Dead,The beginning,The Hyborian age
E616/87,Savage Red Sonja: Queen Of The Frozen Wastes,The beginning,The Hyborian age
E616/88,Red Sonja Omnibus Vol. 1,The beginning,The Hyborian age
E616/89,Red Sonja: She-Devil With A Sword Vol. 3,The beginning,The Hyborian age
E616/90,Conan: The Blood-Stained Crown And Other Stories,The beginning,The Hyborian age
E616/91,Conan And The Midnight God,The beginning,The Hyborian age
E616/92,Red Sonja Travels,The beginning,The Hyborian age
E616/93,Red Sonja: She-Devil With A Sword Vol. 4,The beginning,The Hyborian age
E616/94,Conan Vol. 5: Rogues In The House And Other Stories,The beginning,The Hyborian age
E616/95,Red Sonja: She-Devil With A Sword Vol. 5,The beginning,The Hyborian age
E616/96,Sword Of Red Sonja: Doom Of The Gods,The beginning,The Hyborian age
E616/97,Conan Vol. 6: The Hand Of Nergal,The beginning,The Hyborian age
E616/98,Red Sonja: She-Devil With A Sword Vol. 6,The beginning,The Hyborian age
E616/99,Savage Tales Of Red Sonja,The beginning,The Hyborian age
E616/100,Red Sonja: She-Devil With A Sword Vol. 7,The beginning,The Hyborian age
E616/101,Conan Vol. 7: Cimmeria,The beginning,The Hyborian age
E616/102,Conan Vol. 8: Black Colossus,The beginning,The Hyborian age
E616/103,Red Sonja: She-Devil With A Sword Vol. 8,The beginning,The Hyborian age
E616/104,Conan: The Spear And Other Stories,The beginning,The Hyborian age
E616/105,Robert E. Howard Presents Thulsa Doom,The beginning,The Hyborian age
E616/106,Queen Sonja Vol. 1,The beginning,The Hyborian age
E616/107,Conan Vol. 9: Free Companions,The beginning,The Hyborian age
E616/108,Red Sonja: Wrath Of The Gods,The beginning,The Hyborian age
